Player;Position;Age;Transfer Value;Division;Based In;Interceptions per 90;Possession Won per 90;Shots on Target Percentage;Key Tackles per 90;Conv %;Save Percentage;xGP/90;Open Play Key Passes per 90;Chances Created per 90;Pass Completion Percentage;Possession Lost per 90;xGP;Clearances per 90;Pres A/90;Pres C/90;Tackles Completed per 90;Shots From Outside The Box Per 90 minutes;Shots on Target per 90;Expected Save Percentage;Passes Attempted per 90;Progressive Passes per 90;Sprints/90;Key Passes per 90;Dribbles per 90;Tackled Completed;Open Play Crosses Completed per 90;Shot/90;Shts Blckd/90;Blk/90;Goals per 90 minutes;Dist/90;NP-xG/90;Headers Attempted per 90;xA/90;Open Play Crosses Attempted per 90;Headers Won per 90;Asts/90;Crosses Attempted per 90;Crosses Completed Ratio;Key Headers per 90;Headers Won Percentage;xG-OP;Tackles Attempted;xG/90;Goals Conceded;Minutes
Marcel Bär;ST (C);33;€0;3. Liga;Germany;0.8;2.0;45%;0.0;5%;0;0.0;0.8;0.1;88%;6.9;0;0.1;3.0;0.7;0.1;0.3;0.6;0;33.7;1.8;7.2;0.8;0.5;1;0.0;1.3;0.1;0.1;0.1;11.4;0.2;8.9;0.1;0.4;2.3;0.1;0.6;0;0.4;26;-2.18;3;0.2;0;1421
Tim Sechelmann;D (LC), DM;27;€45K - €425K;3. Liga;Germany;3.4;10.3;38%;0.1;13%;0;0.0;0.4;0.0;91%;4.7;0;1.1;3.1;0.9;0.6;0.3;0.2;0;50.8;3.5;8.0;0.5;0.0;18;0.0;0.5;0.5;0.7;0.1;10.6;0.0;5.6;0.0;0.0;3.3;0.0;0.2;16;0.4;58;1.21;27;0.0;0;2875
Mika Hanraths;D (C);26;€65K - €650K;3. Liga;Germany;3.8;12.6;50%;0.2;25%;0;0.0;0.3;0.0;86%;8.1;0;1.7;2.7;0.9;0.5;0.0;0.1;0;51.9;3.0;6.9;0.3;0.0;18;0.0;0.2;0.6;0.7;0.1;10.5;0.0;6.9;0.0;0.1;5.1;0.0;0.1;50;1.2;74;0.81;26;0.0;0;3330
Sven Sonnenberg;D (C);27;€20K - €200K;3. Liga;Germany;3.6;11.8;31%;0.1;0%;0;0.0;0.2;0.0;91%;4.9;0;1.1;1.6;0.5;0.5;0.0;0.1;0;49.7;2.6;4.6;0.2;0.0;22;0.0;0.3;0.6;0.6;0.0;10.2;0.0;7.4;0.0;0.0;5.2;0.0;0.0;100;1.1;70;-1.18;29;0.0;0;3750
Florian Krüger;ST (C);27;€20K - €210K;3. Liga;Germany;1.0;3.0;63%;0.0;31%;0;0.0;1.6;0.4;87%;6.3;0;0.1;3.1;0.4;0.1;1.1;1.5;0;27.9;1.4;7.3;1.6;0.8;2;0.3;2.3;0.1;0.1;0.7;11.5;0.5;9.3;0.2;0.6;2.3;0.2;0.6;50;0.1;25;3.56;7;0.5;0;1229
Yari Otto;M/AM (C), ST (C);26;€55K - €550K;3. Liga;Germany;2.1;9.1;22%;0.0;2%;0;0.0;0.9;0.2;90%;7.0;0;0.5;8.6;2.3;1.6;1.1;0.3;0;54.3;6.5;10.6;0.9;0.3;50;0.2;1.4;0.3;0.6;0.0;10.6;0.1;1.7;0.1;0.6;0.7;0.2;0.6;25;0.1;44;-1.32;62;0.1;0;2887
Manuel Wintzheimer;AM (RL), ST (C);27;€6K - €60K;3. Liga;Germany;1.0;3.2;54%;0.0;23%;0;0.0;1.0;0.2;88%;9.4;0;0.6;6.5;1.2;0.9;0.9;1.1;0;29.6;1.5;11.1;1.1;1.9;24;0.3;2.1;0.1;0.1;0.5;12.0;0.3;6.3;0.1;3.0;1.0;0.0;3.4;9;0.0;16;1.57;34;0.4;0;2458
Noah Plume;D (C), DM;29;€0 - €40K;3. Liga;Germany;3.1;7.7;17%;0.2;0%;0;0.0;0.1;0.0;87%;4.4;0;1.1;3.0;0.9;1.1;0.1;0.0;0;31.8;2.0;3.9;0.2;0.0;27;0.0;0.2;0.5;0.5;0.0;9.9;0.0;3.7;0.0;0.0;2.1;0.0;0.1;50;0.2;57;-0.24;30;0.0;0;2308
Joshua Bitter;D (RC), DM;29;€9K - €30K;3. Liga;Germany;3.0;10.5;33%;0.2;7%;0;0.0;0.9;0.4;88%;10.6;0;0.8;4.7;1.1;1.6;0.5;0.3;0;54.9;8.0;14.4;0.9;1.0;30;0.7;0.8;0.2;0.4;0.1;12.3;0.1;4.1;0.2;3.9;2.0;0.2;3.9;18;0.2;48;-0.54;42;0.1;0;1658
David Otto;AM (RL), ST (C);27;€65K - €650K;3. Liga;Germany;0.9;2.4;48%;0.0;22%;0;0.0;0.9;0.3;88%;5.9;0;0.3;2.3;0.7;0.2;1.0;1.2;0;30.2;0.7;6.4;0.9;0.5;7;0.1;2.5;0.1;0.1;0.5;11.1;0.4;9.2;0.1;0.6;2.6;0.2;0.6;21;0.1;28;4.88;13;0.4;0;3232
Philipp Hercher;D/WB/M/AM (R);30;€12K - €40K;3. Liga;Germany;3.8;9.9;42%;0.2;5%;0;0.0;2.2;0.5;84%;20.0;0;0.9;8.1;2.2;2.4;0.7;0.5;0;46.1;3.3;27.2;2.2;3.5;35;1.5;1.3;0.3;0.7;0.1;13.3;0.1;2.8;0.2;12.4;1.8;0.3;12.4;12;0.8;66;-0.22;39;0.1;0;1323
Tobias Raschl;DM, M/AM (C);26;€28K - €300K;Bundesliga 2;Germany;0.0;10.8;42%;0.0;16%;0;0.0;0.2;0.4;0%;13.3;0;0.0;0.0;0.0;0.0;0.1;0.4;0;0.0;0.0;0.0;0.2;0.0;0;0.0;0.9;0.0;0.0;0.1;0.0;0.1;0.0;0.1;0.0;0.0;0.2;1.0;28;0.0;0;1.09;0;0.1;0;1881
Dennis Jastrzembski;M/AM (L);26;€0 - €90K;3. Liga;Germany;2.8;6.8;49%;0.0;4%;0;0.0;2.4;0.6;88%;18.4;0;1.1;9.6;2.5;1.8;1.0;0.9;0;39.7;3.7;13.9;2.6;5.7;48;1.5;1.8;0.0;0.1;0.1;12.8;0.1;3.7;0.3;8.7;1.0;0.2;9.0;17;0.0;28;-1.21;60;0.1;0;2408
Erik Majetschak;D (C), DM, M (C);26;€90K - €300K;3. Liga;Germany;3.4;10.6;41%;0.3;9%;0;0.0;0.8;0.1;89%;7.1;0;0.9;5.8;1.5;1.0;0.4;0.3;0;60.9;5.6;12.9;0.8;0.2;33;0.0;0.7;0.3;0.5;0.1;11.8;0.1;3.7;0.0;0.1;2.0;0.0;0.2;0;0.2;54;0.18;55;0.1;0;2949
Eric Hottmann;AM (R), ST (C);26;€85K - €850K;3. Liga;Germany;0.9;2.5;57%;0.0;19%;0;0.0;1.6;0.6;87%;8.2;0;0.2;2.4;0.6;0.2;0.6;1.4;0;39.2;1.5;8.9;1.6;1.3;4;0.4;2.4;0.2;0.4;0.5;11.3;0.3;8.9;0.2;1.4;3.7;0.3;1.4;29;0.3;41;1.36;8;0.4;0;1593
Simon Lorenz;D (C), DM;29;€160K - €550K;3. Liga;Germany;3.6;10.1;50%;0.1;25%;0;0.0;0.1;0.1;93%;3.7;0;0.8;2.0;0.5;0.4;0.0;0.1;0;46.4;2.9;5.9;0.1;0.1;15;0.0;0.1;0.3;0.4;0.0;10.2;0.0;4.4;0.0;0.0;2.5;0.1;0.0;0;0.2;57;0.55;19;0.0;0;3467
Maximilian Thalhammer;D (C), DM, M/AM (C);28;€35K - €375K;3. Liga;Germany;2.9;9.4;14%;0.1;0%;0;0.0;1.0;0.1;88%;7.3;0;0.8;9.5;2.4;1.8;1.0;0.2;0;53.9;5.3;13.4;1.0;0.2;34;0.1;1.1;0.4;0.5;0.0;12.5;0.0;3.5;0.1;0.2;1.7;0.1;0.2;25;0.3;49;-0.53;42;0.0;0;1721
Nader Jindaoui;M (R), AM (RL);29;€14K - €130K;3. Liga;Germany;1.8;5.5;41%;0.1;3%;0;0.0;1.5;0.7;87%;15.9;0;0.5;9.2;1.9;1.2;1.0;0.7;0;44.1;5.2;16.4;1.6;5.7;22;1.0;1.6;0.2;0.7;0.1;11.9;0.1;2.7;0.2;3.8;0.2;0.2;5.8;19;0.1;8;-1.24;30;0.1;0;1637
Dennis Dressel;DM, M (C);27;€400K - €1.3M;3. Liga;Germany;3.5;10.1;40%;0.0;3%;0;0.0;0.8;0.1;90%;5.7;0;1.0;7.4;2.0;1.2;0.8;0.4;0;53.6;5.2;11.6;0.8;0.4;42;0.0;1.0;0.4;0.5;0.0;12.5;0.0;4.4;0.0;0.1;2.2;0.1;0.3;0;0.5;50;-0.43;54;0.0;0;3280
Adrian Fein;DM, M (C);27;€0 - €90K;3. Liga;Germany;2.0;6.6;25%;0.1;6%;0;0.0;0.9;0.2;88%;9.5;0;0.7;4.9;1.5;0.5;0.8;0.2;0;53.7;5.9;11.8;1.6;0.1;10;0.0;0.8;0.5;0.6;0.1;11.5;0.0;1.5;0.1;0.2;1.1;0.2;3.2;14;0.2;72;0.31;18;0.0;0;1717
Lars Dietz;D (C), DM;29;€65K - €650K;3. Liga;Germany;3.4;10.6;22%;0.1;11%;0;0.0;0.3;0.0;90%;5.2;0;1.6;2.8;0.7;0.6;0.1;0.1;0;46.6;4.0;6.3;0.3;0.0;16;0.0;0.3;0.6;0.8;0.0;10.8;0.0;4.9;0.0;0.1;3.0;0.0;0.1;0;0.7;62;-0.27;22;0.0;0;2573
Jakob Golz;GK;27;€170K - €600K;3. Liga;Germany;0.6;11.1;0%;0.0;0%;77;-0.2;0.1;0.0;72%;9.5;-6.01;3.0;0.0;0.0;0.1;0.0;0.0;88;27.3;1.2;0.1;0.1;0.0;3;0.0;0.0;0.0;0.0;0.0;6.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;4;0.0;53;3480
Dominik Becker;D (C);26;€6K - €20K;3. Liga;Germany;2.1;8.4;29%;0.0;0%;0;0.0;0.1;0.2;86%;5.4;0;1.5;2.2;0.3;0.1;0.0;0.2;0;40.6;1.7;3.8;0.1;0.0;1;0.0;0.6;0.4;0.9;0.0;9.8;0.1;4.7;0.0;0.1;2.9;0.0;0.1;0;0.2;60;-0.94;3;0.1;0;1100
Max Brandt;DM, M (C);24;€80K - €800K;3. Liga;Germany;2.4;8.2;46%;0.0;8%;0;0.0;1.4;0.4;89%;9.1;0;0.9;7.7;2.1;1.5;0.9;0.5;0;68.7;9.7;14.6;1.8;0.4;34;0.1;1.1;0.2;0.5;0.1;12.4;0.1;1.5;0.1;0.4;0.6;0.1;3.6;10;0.0;41;0.08;40;0.1;0;1986
