Player;Position;Age;Transfer Value;Division;Based In;Interceptions per 90;Possession Won per 90;Shots on Target Percentage;Key Tackles per 90;Conv %;Save Percentage;xGP/90;Open Play Key Passes per 90;Chances Created per 90;Pass Completion Percentage;Possession Lost per 90;xGP;Clearances per 90;Pres A/90;Pres C/90;Tackles Completed per 90;Shots From Outside The Box Per 90 minutes;Shots on Target per 90;Expected Save Percentage;Passes Attempted per 90;Progressive Passes per 90;Sprints/90;Key Passes per 90;Dribbles per 90;Tackled Completed;Open Play Crosses Completed per 90;Shot/90;Shts Blckd/90;Blk/90;Goals per 90 minutes;Dist/90;NP-xG/90;Headers Attempted per 90;xA/90;Open Play Crosses Attempted per 90;Headers Won per 90;Asts/90;Crosses Attempted per 90;Crosses Completed Ratio;Key Headers per 90;Headers Won Percentage;xG-OP;Tackles Attempted;xG/90;Goals Conceded;Minutes
Gino Fechner;D (RC), WB (R), DM, M (C);28;14K € - 140K €;3. Liga;Germany;3,3;9,0;16%;0,2;0%;0;0,0;0,8;0,1;86%;9,1;0;0,8;7,3;2,1;1,5;0,9;0,2;0;43,9;3,6;14,5;0,9;0,4;28;0,4;1,0;0,3;0,5;0,0;12,3;0,1;3,0;0,0;1,7;1,7;0,1;2,4;20;0,3;57;-0.94;31;0,1;0;1629
Martin Männel;GK;37;5K € - 16K €;3. Liga;Germany;0,6;9,2;0%;0,0;0%;71;-0,4;0,0;0,0;67%;11,4;-6.55;7,1;0,0;0,0;0,1;0,0;0,0;85;22,1;1,4;0,1;0,0;0,0;1;0,0;0,0;0,0;0,0;0,0;6,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,0;0;0;3;0,0;28;1620
Lukas Rupp;DM, M (C), AM (RC);34;500 € - 6K €;Regional Div. Southwest;Germany;1,6;7,1;38%;0,0;8%;0;0,0;2,0;0,2;87%;15,4;0;0,9;9,2;2,0;1,7;0,3;0,7;0;44,2;4,0;14,1;2,0;3,7;22;1,3;1,8;0,0;0,4;0,2;10,9;0,2;3,8;0,0;3,3;1,1;0,1;3,6;36;0,1;28;-0.04;26;0,2;0;1179
Tim Rieder;D (RC), DM, M (C);32;16K € - 160K €;Regional Div. Northeast;Germany;2,8;14,3;33%;0,0;0%;0;0,0;0,7;0,2;92%;5,8;0;0,9;5,4;1,1;0,8;0,2;0,1;0;49,3;3,3;8,6;0,7;0,1;15;0,1;0,3;0,3;0,4;0,0;10,9;0,0;3,0;0,2;0,2;1,7;0,2;0,2;66;0,5;55;-0.54;19;0,0;0;1668
Cyrill Akono;AM (L), ST (C);25;6K € - 60K €;Regional Div. Northeast;Germany;0,5;2,1;39%;0,0;21%;0;0,0;1,0;0,1;90%;18,1;0;0,5;1,9;0,9;0,1;0,7;0,9;0;25,2;0,8;8,1;1,1;0,2;2;0,1;2,3;0,0;0,0;0,5;10,6;0,3;10,3;0,0;0,5;5,1;0,0;0,5;12;0,2;50;3.76;2;0,3;0;1488
Vincent Schaub;D/WB (R), M/AM (RL), ST (C);26;40K € - 140K €;Regional Div. West;Germany;2,8;9,8;40%;0,0;0%;0;0,0;1,7;0,2;84%;17,3;0;0,4;9,6;2,8;2,1;0,0;0,1;0;47,0;5,1;18,9;1,7;1,8;39;0,8;0,3;0,4;0,2;0,0;12,0;0,0;4,7;0,0;6,6;2,8;0,1;6,6;11;0,4;59;-0.85;51;0,0;0;1674
Sascha Mockenhaupt;D (RC), WB (R);34;0 € - 28K €;3. Liga;Germany;3,0;10,5;21%;0,0;0%;0;0,0;1,2;0,2;81%;14,0;0;0,6;7,9;2,0;1,3;0,5;0,2;0;43,3;3,4;19,7;1,2;1,6;24;0,6;0,8;0,4;0,6;0,0;12,4;0,0;4,8;0,1;4,1;3,2;0,2;4,1;15;0,5;66;-0.54;35;0,0;0;1676
Nico Neidhart;D/WB (RL);31;4,5K € - 45K €;3. Liga;Germany;2,6;11,0;100%;0,1;22%;0;0,0;1,7;0,6;88%;15,8;0;1,5;11,8;3,0;2,9;0,4;0,7;0;52,2;5,0;30,7;1,8;2,1;39;1,3;0,7;0,3;0,6;0,1;13,4;0,0;4,1;0,2;7,8;2,1;0,2;10,3;17;0,2;50;1.33;49;0,0;0;1229
Julian Riedel;D (RLC), DM;34;0 € - 24K €;Regional Div. West;Germany;2,4;22,1;0%;0,1;0%;0;0,0;0,2;0,2;87%;2,8;0;1,2;2,8;0,9;0,6;0,2;0,0;0;44,6;2,1;4,4;0,2;0,0;12;0,0;0,4;0,7;0,5;0,0;10,3;0,1;6,4;0,1;0,1;5,0;0,2;0,1;0;0,6;78;-1.21;13;0,1;0;1741
Julian Rieckmann;D (C), DM, M (C);25;170K € - 600K €;3. Liga;Germany;4,1;12,5;35%;0,1;6%;0;0,0;0,4;0,2;89%;7,3;0;0,8;11,0;3,2;1,7;0,7;0,4;0;57,3;6,2;13,4;0,4;0,4;29;0,0;1,0;0,1;0,2;0,1;12,6;0,1;3,8;0,0;0,2;2,0;0,1;0,2;0;0,1;53;-0.26;47;0,1;0;1528
Cedric Harenbrock;M (C), AM (LC);27;6K € - 60K €;3. Liga;Germany;1,6;4,5;41%;0,1;18%;0;0,0;1,1;0,2;87%;11,4;0;0,4;6,3;1,9;0,6;0,6;0,7;0;49,1;3,9;15,7;1,6;1,6;8;0,7;1,7;0,2;0,2;0,3;12,8;0,3;5,2;0,1;2,7;1,4;0,0;5,1;21;0,0;27;0.39;13;0,3;0;1149
Dennis Jastrzembski;M/AM (L);25;45K € - 475K €;3. Liga;Germany;2,7;6,6;54%;0,0;7%;0;0,0;2,9;0,8;88%;17,7;0;1,3;9,7;2,7;1,1;0,9;0,9;0;38,7;3,7;15,0;3,2;5,5;18;1,7;1,7;0,0;0,2;0,1;12,9;0,1;3,7;0,3;8,8;1,1;0,2;9,3;18;0,1;28;0.44;27;0,1;0;1442
Björn Rother;DM, M (C);29;50K € - 170K €;Regional Div. West;Germany;1,7;12,4;16%;0,0;8%;0;0,0;0,4;0,2;89%;8,7;0;0,6;4,3;0,9;0,6;0,3;0,2;0;35,9;2,2;6,6;1,1;0,1;13;0,1;1,1;0,4;0,3;0,1;7,4;0,2;2,3;0,1;0,2;1,3;0,1;0,4;22;0,1;58;-2.07;14;0,2;0;1961
Manuel Stiefler;D (C), DM, M (C);37;18K € - 60K €;Regional Div. Bavaria;Germany;2,8;16,6;13%;0,2;0%;0;0,0;0,7;0,2;90%;4,2;0;1,3;5,2;1,6;1,1;0,3;0,2;0;48,5;3,9;9,4;0,7;0,1;14;0,1;1,2;0,3;0,7;0,0;11,0;0,1;1,8;0,1;0,1;0,7;0,2;0,1;100;0,1;41;-1.59;18;0,1;0;1107
Florian Ballas;D (C);32;3K € - 28K €;Regional Div. Southwest;Germany;2,5;17,4;17%;0,2;0%;0;0,0;0,1;0,0;90%;3,2;0;1,3;2,8;1,2;0,9;0,0;0,1;0;41,7;2,5;3,9;0,1;0,0;12;0,0;0,5;0,6;0,9;0,0;9,7;0,1;5,5;0,1;0,0;4,1;0,0;0,0;0;1,4;74;-0.75;12;0,1;0;1137
